,Spikes_hourly
2021-07-12 09:00:00,232.99180010989545
2021-07-12 10:00:00,239.55637707948244
2021-07-12 11:00:00,227.8862242052426
2021-07-12 12:00:00,165.73660714285714
2021-07-12 13:00:00,171.6197379425704
2021-07-12 14:00:00,203.79252649191298
2021-07-12 15:00:00,249.97211377579478
2021-07-12 16:00:00,251.9096738221355
2021-07-12 17:00:00,251.97992191857222
2021-07-12 18:00:00,235.91745677635248
2021-07-12 19:00:00,223.87060791968767
2021-07-12 20:00:00,223.8706079196877
2021-07-12 21:00:00,196.7103429049345
2021-07-12 22:00:00,230.9623430962343
2021-07-12 23:00:00,179.6487315305269
2021-07-13 00:00:00,284.18410041841
2021-07-13 01:00:00,309.20245398773005
2021-07-13 02:00:00,242.14345520513538
2021-07-13 03:00:00,219.85499163413272
2021-07-13 04:00:00,225.81544466127684
2021-07-13 05:00:00,269.0462911321807
2021-07-13 06:00:00,334.20685809868974
2021-07-13 07:00:00,281.01477557847784
2021-07-13 08:00:00,306.27615062761504
2021-07-13 09:00:00,245.2481076534903
2021-07-13 10:00:00,102.39821528165086
2021-07-13 11:00:00,226.88232013385385
2021-07-13 12:00:00,206.80423870607922
2021-07-13 13:00:00,280.08923591745673
2021-07-13 14:00:00,234.04017857142858
2021-07-13 15:00:00,266.9640367995539
2021-07-13 16:00:00,241.94088120468487
2021-07-13 17:00:00,264.95678840256477
2021-07-13 18:00:00,207.8081427774679
2021-07-13 19:00:00,451.6308893225537
2021-07-13 20:00:00,260.0836820083682
2021-07-13 21:00:00,270.9785335935322
2021-07-13 22:00:00,233.909648633575
2021-07-13 23:00:00,116.42040702536937
2021-07-14 00:00:00,237.99163179916317
2021-07-14 01:00:00,344.53125
2021-07-14 02:00:00,173.67540435025097
2021-07-14 03:00:00,125.45302481182048
2021-07-14 04:00:00,325.26491912994976
2021-07-14 05:00:00,279.00752718148874
2021-07-14 06:00:00,154.64435146443515
2021-07-14 07:00:00,133.55648535564853
2021-07-14 08:00:00,183.66322832450513
2021-07-14 09:00:00,192.6958461109562
2021-07-14 10:00:00,199.77691020635805
2021-07-14 11:00:00,184.66685252299973
2021-07-14 12:00:00,172.62336214106494
2021-07-14 13:00:00,219.85499163413272
2021-07-14 14:00:00,195.70671870643991
2021-07-14 15:00:00,134.48564259827154
2021-07-14 16:00:00,424.6514221974345
2021-07-14 17:00:00,296.0691385558963
2021-07-14 18:00:00,191.74567763524817
2021-07-14 19:00:00,240.86980763869528
2021-07-14 20:00:00,221.98660714285714
2021-07-14 21:00:00,295.1477969882878
2021-07-14 22:00:00,216.84327941996654
2021-07-14 23:00:00,232.84081405073874
2021-07-15 00:00:00,315.22587841606247
2021-07-15 01:00:00,293.13998884551035
2021-07-15 02:00:00,267.03848298940324
2021-07-15 03:00:00,303.09450794535826
2021-07-15 04:00:00,281.01477557847784
2021-07-15 05:00:00,138.5387618516453
2021-07-15 06:00:00,195.70671870643991
2021-07-15 07:00:00,315.22587841606247
2021-07-15 08:00:00,181.65597992751603
2021-07-15 09:00:00,163.5907443546139
2021-07-15 10:00:00,205.97264861847614
2021-07-15 11:00:00,205.80033463469047
2021-07-15 12:00:00,200.72483969891275
2021-07-15 13:00:00,264.95678840256477
2021-07-15 14:00:00,177.69102063580593
2021-07-15 15:00:00,299.08001115138
2021-07-15 16:00:00,313.218070273285
2021-07-15 17:00:00,312.1271257318093
