cow,date,hour,WALK,SLEEP,EAT,ACTIVITY_LEVEL,A,B,B2,B3,B4,C,D,E,F,F2,OK
10127,2013-10-03,17,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,18,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,19,117.022000,2635.504000,847.473000,-231.503740,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,20,95.939000,277.872000,3226.188000,1306.438640,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,21,24.583000,3575.416000,0.000000,-818.412400,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,22,11.720000,3588.279000,0.000000,-823.428970,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,23,8.196000,3591.803000,0.000000,-824.803330,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-03,24,154.594000,3433.697000,11.708000,-760.097910,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,1,55.094000,3544.905000,0.000000,-806.513110,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,2,3415.661000,184.338000,0.000000,504.108020,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,3,2078.418000,15.273000,1506.308000,961.683450,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,4,116.931000,2200.789000,1282.279000,51.084670,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,5,52.608000,3547.391000,0.000000,-807.482650,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,6,137.993000,3462.006000,0.000000,-774.182500,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,7,99.379000,3500.620000,0.000000,-789.241960,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,8,57.331000,2680.483000,862.185000,-245.220430,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,9,561.659000,83.126000,2955.214000,1311.936340,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,10,268.449000,469.834000,2861.716000,1136.810740,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,11,110.034000,3489.965000,0.000000,-785.086510,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,12,632.840000,2967.159000,0.000000,-581.192170,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,13,2195.783000,332.117000,1072.099000,725.219950,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,14,5.853000,3594.146000,0.000000,-825.717100,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,15,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,16,128.821000,432.774000,3038.404000,1197.203020,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,17,272.159000,65.590000,3262.250000,1398.604740,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,18,1546.580000,2038.218000,15.201000,-214.952920,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,19,171.462000,2937.234000,491.303000,-441.782640,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,20,0.000000,3599.999000,0.000000,-827.999770,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,21,248.187000,1573.650000,1778.162000,424.598460,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,22,783.683000,1128.863000,1687.453000,574.481050,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,23,57.337000,3542.662000,0.000000,-805.638340,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-04,24,697.147000,2902.852000,0.000000,-556.112440,0,0,0,0,0,0,0,0,0,0,1
10127,2013-10-05,1,209.544000,3390.455000,0.000000,-746.277610,0,0,0,0,0,0,0,0,0,0,1
